Title,Description,Subject,Department 1,Department 2,Department 3,Departments,Course Number,Academic Level,Prerequisites,Locations,Course Types ,Course Name,Course ID,Last Updated ,Item Type,Path
Machine Tool and Fixture Design,"COURSE DESCRIPTION: The manufacture of products and machinery often requires the use of specialized tooling and fixtures to support the manufacturing and associated processes. Tooling and fixtures supports a variety of processes in manufacturing to align parts for assembly, gauge machines to assure that the part meets its specifications, and hold machines to assure the safety of personnel using and around the machines. Aircraft manufacturing, for example, requires complex tooling and fixturing to hold all of the components of the airframe to very close tolerances, without deflection, and facilitate bringing large fuselage structures together accurately and efficiently. In this course, modern Computer Aided Design (CAD) and Computer Aided Manufachuing (CAM) system will be emphasized in the design of machine tooling and fixtures. ",Mechanical Engineering,Mechanical Engineering,,,Mechanical Engineering,480X,Graduate,,Main Campus,,MEEG-480X,4388,2/26/2021 6:15,Item,Lists/Courses
Chinese Med Clinical Research,"COURSE DESCRIPTION: This course will guide students through the steps of research in Traditional Chinese Medicine from conceptualization, literature review, proposal, grant writing and !RB approval. At the end of the course, each student will .have completed all steps in preparing to conduct clinical research in the Chinese Medicine field. ",Acup Clinical Services,Acupuncture Institute,,,Acupuncture Institute,725,Acupuncture,"TAKE ACS-511,ACS-631;",Main Campus,,ACS-725,4389,2/26/2021 6:15,Item,Lists/Courses
Engineering Graphics,"This course provides an introduction to engineering graphics and visualization including engineering drawing and 3-D solid modeling with a computer aided design (CAD) package. Topics include the design process, multiview projection and sectioning, dimensioning, tolerancing, and working drawings.",Mechanical Engineering,Mechanical Engineering,,,Mechanical Engineering,112,Undergraduate,,Main Campus; Shelton High School,,MEEG-112,4391,2/26/2021 6:15,Item,Lists/Courses
Thermodynamics,"This course introduces principles of thermodynamics, properties of ideal gases and water vapors, first and second laws of thermodynamics, and entropy. Applications of thermodynamic analysis in engineering applications.",Mechanical Engineering,Mechanical Engineering,,,Mechanical Engineering,203,Undergraduate,"Take MATH-112,CHEM-103;",Main Campus,,MEEG-203,4392,2/26/2021 6:15,Item,Lists/Courses
Fluid Mechanics,"This course introduces the fundamentals of fluid mechanics and explores the topics of fluid statics, buoyancy, key properties which affect fluid motion, fluid flow regimes, governing equations, empirical and analytic methods of internal and external flows.",Mechanical Engineering,Mechanical Engineering,,,Mechanical Engineering,307,Undergraduate,"Take MEEG-203,MATH-215,MATH-281 minimum grade C or better",Main Campus,,MEEG-307,4393,2/26/2021 6:15,Item,Lists/Courses
Mechanical Measurement & Data Analysis,"The course introduces the fundamentals of basic instrumentation, experimental measurement and data analysis used in mechanical engineering. In addition to instrument use and the planning and execution of experiments, the topics of calibration, precision, sampling, accuracy and error are included.  Special focus is given to the preparation of technical reports.",Mechanical Engineering,Mechanical Engineering,,,Mechanical Engineering,380,Undergraduate, Take ELEG-233 ELEG-235 MEEG-250,Main Campus,,MEEG-380,4394,2/26/2021 6:15,Item,Lists/Courses
Manufacturing Engineering,"This course covers major manufacturing processes for engineering materials, including forming and shaping processes and equipment, machining processes and machine tools, etc. It also introduces modeling and analysis for manufacturing process design and optimization.",Mechanical Engineering,Mechanical Engineering,,,Mechanical Engineering,372,Undergraduate,TAKE MEEG-310;,Main Campus,,MEEG-372,4395,2/26/2021 6:15,Item,Lists/Courses
Machine Design,,Mechanical Engineering,Mechanical Engineering,,,Mechanical Engineering,350D,Undergraduate,Take MEEG-112 and MEEG-310;,Main Campus,,MEEG-350D,4396,2/26/2021 6:15,Item,Lists/Courses
Mech Engr Systms Lab,"This course is the application of measurement techniques developed in MEEG 380 to various mechanical systems and processes. Emphasis is on data acquisition, reduction, analysis, and report preparation.",Mechanical Engineering,Mechanical Engineering,,,Mechanical Engineering,381,Undergraduate,"TAKE MEEG-380, MEEG-363 and MATH-323;",Main Campus,,MEEG-381,4397,2/26/2021 6:15,Item,Lists/Courses
Senior Design Project,"The first part of the senior design project, which covers topics of product design and development process. Design project proposals, computer-aided design, analysis, and modeling of an open-ended engineering design problem.  Development and presentation of conceptual designs.",Mechanical Engineering,Mechanical Engineering,,,Mechanical Engineering,361,Undergraduate,TAKE MEEG-307 ;,Main Campus,,MEEG-361,4398,2/26/2021 6:15,Item,Lists/Courses
Thermal Fluid System Design,"This course integrates thermodynamics, fluid mechanics and heat transfer through application to the design of various thermal systems comprised of several components requiring individual analyses. Emphasis on modeling, analysis, and design of engineering systems and components with state-of-the-art computer software.",Mechanical Engineering,Mechanical Engineering,,,Mechanical Engineering,369D,Undergraduate,TAKE MEEG-307 and MEEG-363;,Main Campus,,MEEG-369D,4399,2/26/2021 6:15,Item,Lists/Courses
Senior Design Project,"The second part of the senior design project, which covers topics of product design and development process. Development of a working design started in the previous semester using computer-aided design, analysis, modeling, and optimization methods and manufacture a prototype of the final design. ",Mechanical Engineering,Mechanical Engineering,,,Mechanical Engineering,362,Undergraduate,TAKE MEEG-361;,Main Campus,,MEEG-362,4400,2/26/2021 6:15,Item,Lists/Courses
American Environmental History,"This course traces human interaction with the natural environment and with human-created environments in regions of North America that are now occupied by the United States from the colonial period to the present. The course focuses both on how the natural environment shaped the growth of North American civilizations and on how evolving modes of economic production changed various Americans' relationship to nature and their ideas about it. Special attention goes to how Native people's original connection to the land gave way to European settlers' land use, how preseNationist ideas behind the U.S.'s great American park system collided with local people's traditional uses of natural resources, and how naturalist Rachel Carson's blockbuster book Silent Spring contributed to growing ecological consciousness among Americans and the rise of the modern environment movement in the 1960s.",History,History,,,History,217X,Undergraduate,,Main Campus,Liberal Arts Electvie,HIST-217X,4414,2/26/2021 6:15,Item,Lists/Courses
Physical and Functional Assessments,,Acup Clinical Services,Acupuncture Institute,,,Acupuncture Institute,715,Acupuncture,,Main Campus; Hybrid,,ACS-715,4452,2/26/2021 6:15,Item,Lists/Courses
Clinical Medicine IV,"The last of a four-semester series, this course is an organ-systems-based exploration of pediatrics, infectious, and musculoskeletal diseases as well as conditions found in emergency medicine.  Emphasis is on the integration of anatomy, physiology, pathophysiology, microbiology, history and exam findings and diagnostic procedures in order to formulate a differential diagnosis; on ordering and interpreting diagnostic tests in order to develop a working diagnosis; and on developing and implementing treatment plans including as needed therapeutic procedures, pharmacology, referral and patient education and counseling.  5 credits",M.S. Physician Assistant,Physician Assistant Institute,,,Physician Assistant Institute,614,Physician Assistant,,Main Campus,,MSPA-614,4455,2/26/2021 6:15,Item,Lists/Courses
Technical Skills,"The demonstration and practice of technical procedures frequently encountered in primary care, emergency medicine, and surgical settings are explored in this course. The emphasis is on such skills as intravenous cannulization, suturing, urethral catheterization, splinting and casting incision and drainage and nasogastric lavage.  2 credits",M.S. Physician Assistant,Physician Assistant Institute,,,Physician Assistant Institute,621,Physician Assistant,,Main Campus,,MSPA-621,4456,2/26/2021 6:15,Item,Lists/Courses
Elective Clerkship,This six-week experience offers the opportunity to explore a discipline of interest in depth.  Students are responsible to enhance their understanding of this discipline through by self-motivation. 4 credits,M.S. Physician Assistant,Physician Assistant Institute,,,Physician Assistant Institute,658,Physician Assistant,,Main Campus,,MSPA-658,4457,2/26/2021 6:15,Item,Lists/Courses
