Title,Colleague Section ID ,Section Name,Course ID,Section Number,Last Updated,Description,Location ,Term,Dates,Meeting Info,Week Days,Buildings,Classrooms,Instruction Methods,Course Types,Subject ,Departments,Academic Level ,Synonym,Faculty,Capacity,Course Number,Maximum Credits,Minimum Credits,Prerequisites,Credits,CEUs,Comments,Books,Books List Price,Books List Price Total,Item Type,Path
^ Curriculum Writing / Revisio (Spring 2021 EDMM-688-DL),85893,EDMM-688-DL,3678,DL,3/1/2021 6:15,,Distance Learning-On Line,Spring 2021,3/15/2021 12:00:00 AM - 5/2/2021 12:00:00 AM,,,On-Line,ONLN,Online,,Education Mod Map,Education Mod-Map,Graduate,5562,B. Gilyard,15,688,,3,,3,,,,, $-   ,Item,Lists/Sections
^ Spec Prob-Elem Educ (Spring 2021 EDUC-580C-BP1),85953,EDUC-580C-BP1,783,BP1,2/26/2021 6:15,This is intended for students interested in independent study or research of a selected topic or problem in consultation with a faculty member. By arrangement. Faculty permission required. 1-6 semester hours,Distance Learning-On Line,Spring 2021,1/25/2021 12:00:00 AM - 5/7/2021 12:00:00 AM,,,,,Online,Independent Study,Education,Education,Graduate,5622,,,580C,6,1,,1 - 6,,,,, $-   ,Item,Lists/Sections
^ Transnationalism: World Hist (Spring 2021 EDMM-682-DL),85891,EDMM-682-DL,3809,DL,2/26/2021 6:15,,Distance Learning-On Line,Spring 2021,1/25/2021 12:00:00 AM - 5/7/2021 12:00:00 AM,,,On-Line,ONLN,Online,,Education Mod Map,Education Mod-Map,Graduate,5560,A. Richmond,25,682,,3,,3,,,,, $-   ,Item,Lists/Sections
^21st Cent Presidential Power (Fall 2017 EDMM-622-DL),66413,EDMM-622-DL,4121,DL,4/20/2017 6:15,,Distance Learning-On Line,Fall 2017,8/28/2017 12:00:00 AM - 12/15/2017 12:00:00 AM,,,On-Line,ONLN,Online,,Education Mod Map,Education Mod-Map,Graduate,8514,A. Richmond,20,622,,3,,3,,,,, $-   ,Item,Lists/Sections
^Abnormal Psychology (Fall 2016 PSYC-230-IDDL1),62072,PSYC-230-IDDL1,3862,IDDL1,9/26/2016 6:15,"The course will focus on the study of those thoughts, feelings, and behaviors that interfere with psychologically adaptive functioning. The causes and appropriate treatments of mood disorders, personality disorders, schizophrenia, adjustment reactions, and other disorders as specified in the DSM will be discussed.  Prerequisite: Must have taken PSYC 103 and passed with a minimum grade of ""C"". ",Distance Learning-On Line,Fall 2016,8/22/2016 12:00:00 AM - 10/15/2016 12:00:00 AM,,,On-Line,ONLN,Online,IDEAL Course Sections,Psychology,Psychology,Undergraduate,4350,P. Sawyer,18,230,,3,    TAKE PSYC-103 Min Grade C;,3,,,,, $-   ,Item,Lists/Sections
^Abnormal Psychology (Spring 2021 PSYC-230-IDDL2),86636,PSYC-230-IDDL2,3862,IDDL2,3/1/2021 6:15,"The course will focus on the study of those thoughts, feelings, and behaviors that interfere with psychologically adaptive functioning. The causes and appropriate treatments of mood disorders, personality disorders, schizophrenia, adjustment reactions, and other disorders as specified in the DSM will be discussed.  Prerequisite: Must have taken PSYC 103 and passed with a minimum grade of ""C"". ",Distance Learning-On Line,Spring 2021,3/22/2021 12:00:00 AM - 5/9/2021 12:00:00 AM,,,On-Line,ONLN,Online,"Liberal Arts Electvie, IDEAL Course Sections",Psychology,Psychology,Undergraduate,6305,A. D'Elia,25,230,,3,    TAKE PSYC-103 Min Grade C;,3,,,,, $-   ,Item,Lists/Sections
^Abnormal Psychology (Summer 2017 PSYC-230-DL),66610,PSYC-230-DL,3862,DL,9/14/2017 8:50,"The course will focus on the study of those thoughts, feelings, and behaviors that interfere with psychologically adaptive functioning. The causes and appropriate treatments of mood disorders, personality disorders, schizophrenia, adjustment reactions, and other disorders as specified in the DSM will be discussed.  Prerequisite: Must have taken PSYC 103 and passed with a minimum grade of ""C"". ",Distance Learning-On Line,Summer 2017,7/3/2017 12:00:00 AM - 8/4/2017 12:00:00 AM,,,On-Line,ONLN,Online,,Psychology,Psychology,Undergraduate,8706,D. Demanarig,20,230,,3,    TAKE PSYC-103 Min Grade C;,3,,,,, $-   ,Item,Lists/Sections
^Adv Clin Nutrition I (Spring 2021 HSCI-851-DL),87169,HSCI-851-DL,4680,DL,2/26/2021 6:15,"Integrative nutrition and functional medicine in Metabolic Health Issues and Cardio Vascular Health (Metabolic Syndrome, Obesity, Weight Loss Resistance, Diabetes Mellitus, Diabesity, Non - Alcoholic Fatty Liver Disease, Liver Disease, Hypertension, CVD, CHD, Arrythmia, Vascular Health, Hyperlipidemia, Gastric Bypass Surgery, Hypothyroidism, Hashimoto's Thyroiditis, Graves' Disease and other Endocrine Disorders). Critical assessment and evaluation of current Evidence Based Nutrition (EBN) and other interventions: Low Glycemic Index and Glycemic Load Diets, DASH Diet, Vegetarian Diet, Ketogenic Diet, Fruitarian, Paleo Diet, Whole 30 Diet, Elimination Diets, IFM Intermittent Fasting and Mitochondrial Diet, IFM Cardiometabolic Diet, and all weight loss and FAD diets as they pertain to Metabolic Health Issues and the potential dangers of them. Supplementation EBN evaluation, assessment and dosing for condition specific application.",Distance Learning-On Line,Spring 2021,1/4/2021 12:00:00 AM - 4/16/2021 12:00:00 AM,,,On-Line,ONLN,Online,,Health Science,Health Sciences,Graduate,6806,"O. Coetzee, B. Mccambley",25,851,,3,,3,,,,, $-   ,Item,Lists/Sections
^Adv Clin Nutrition II (Spring 2021 HSCI-852-DL),87170,HSCI-852-DL,4681,DL,2/26/2021 6:15,"Integrative nutrition and functional medicine in cardiovascular health (heart disease, congestive heart failure, arrhythmia, dyslipidemia, hypertension, vascular health, anemia).",Distance Learning-On Line,Spring 2021,1/4/2021 12:00:00 AM - 4/16/2021 12:00:00 AM,,,On-Line,ONLN,Online,,Health Science,Health Sciences,Graduate,6807,"O. Coetzee, D. Brady, B. Mccambley",25,852,,3,,3,,,,, $-   ,Item,Lists/Sections
^Adv Clin Nutrition III (Summer 2021 HSCI-853-DL),89674,HSCI-853-DL,4682,DL,2/26/2021 6:15,"Integrative nutrition and functional medicine in Metabolic Health issues (Metabolic syndrome obesity, chronic fatigue syndrome, diabetes mellitus, and other endocrine disorders).",Distance Learning-On Line,Summer 2021,5/3/2021 12:00:00 AM - 8/13/2021 12:00:00 AM,,,On-Line,ONLN,Online,,Health Science,Health Sciences,Graduate,9273,K. Rohrer,25,853,,3,,3,,,,, $-   ,Item,Lists/Sections
^Adv Clinical Chemistry (Spring 2017 MLSC-355-DL),64631,MLSC-355-DL,4081,DL,1/23/2017 9:30,"Lecture/laboratory  focusing  on  clinical  sig- nificance and methodology of trace elements,  vitamins,  therapeutic  drug  monitoring,  and   toxicology.  Newer  testing  methods  used  to   identify  diseases/disorders  will  be  discussed.   Emphasizes instrument selection and method  validation  process.  Prerequisite:  MLSC  311   with a C or better.  2 semester hours",Distance Learning-On Line,Spring 2017,1/17/2017 12:00:00 AM - 5/5/2017 12:00:00 AM,,,On-Line,ONLN,Online,,Medical Laboratory Sciences,Medical Laboratory Science,Undergraduate,6789,S. Ferency,20,355,,2,    TAKE MLSC-311 with C or better;,2,,,,, $-   ,Item,Lists/Sections
^Adv Clinical Chemistry (Spring 2021 MLSC-355-DL),86412,MLSC-355-DL,4081,DL,2/26/2021 6:15,"Lecture/laboratory  focusing  on  clinical  sig- nificance and methodology of trace elements,  vitamins,  therapeutic  drug  monitoring,  and   toxicology.  Newer  testing  methods  used  to   identify  diseases/disorders  will  be  discussed.   Emphasizes instrument selection and method  validation  process.  Prerequisite:  MLSC  311   with a C or better.  2 semester hours",Distance Learning-On Line,Spring 2021,1/25/2021 12:00:00 AM - 5/7/2021 12:00:00 AM,,,On-Line,ONLN,Online,,Medical Laboratory Sciences,Medical Laboratory Science,Undergraduate,6081,S. Ferency,20,355,,2,    TAKE MLSC-311 with C or better;,2,,,,, $-   ,Item,Lists/Sections
^Adv Disease Processes&Treatm (Spring 2021 HSCI-840-DL),86144,HSCI-840-DL,4317,DL,2/26/2021 6:15,"This is an advanced course providing detailed information about systems physiology and pathophysiology, as well as the epidemiology, etiology, risk factors, pathogenesis, prognosis and treatment of disease, particularly pharmacotherapeutics. Topics covered include cardiopulmonary diseases, infectious diseases, gastroenterology, urology, endocrine and oncology. Lab and specific diagnostic tests will be reviewed.  Cultural and ethnic approaches to health care and prescription drug use will also be explored. Special attention will be placed on recognizing drug-drug, drug-nutrient, and drug-exercise interactions.",Distance Learning-On Line,Spring 2021,1/4/2021 12:00:00 AM - 4/16/2021 12:00:00 AM,,,On-Line,ONLN,Online,,Health Science,Health Sciences,Graduate,5813,A. Zayan,25,840,,3,,3,,,,, $-   ,Item,Lists/Sections
^Adv Fin Mgmt & Policy (Spring 2021 FIN-505-DL2),86035,FIN-505-DL2,2285,DL2,2/26/2021 6:15,"This course provides a general survey of the body of knowledge of corporate finance. Corporate finance is an area of finance dealing with the financial decisions corporations make and the tools and analysis used to make these decisions. The primary goal of corporate finance is to enhance corporate value and shareholder's wealth. To achieve the goal, financial managers must make important decisions such as project evaluations and investment decisions, financing decisions and dividend decisions. A solid understanding of the financial markets is also essential. The main concepts and principals in the study of corporate finance are also applicable to the financial problems of all kinds of firms. Basic accounting and statistics are essential to understanding the principles developed in this course. ",Distance Learning-On Line,Spring 2021,3/22/2021 12:00:00 AM - 5/9/2021 12:00:00 AM,,,On-Line,ONLN,Online,,Finance,Finance,Graduate,5704,C. Wu,25,505,,3,,3,,,,, $-   ,Item,Lists/Sections
^Adv Immunohematology (Spring 2021 MLSC-354-DL),86411,MLSC-354-DL,4005,DL,2/26/2021 6:15,"Lecture/laboratory focusing on problem-solving and special techniques used in antibody identification and compatibility testing. Also includes a discussion of donor requirements, blood component preparation and therapy, and quality assurance in the blood bank/transfusion service. Prerequisite: MLSC 314 with a C or better. 2 semester hour",Distance Learning-On Line,Spring 2021,1/25/2021 12:00:00 AM - 5/7/2021 12:00:00 AM,,,On-Line,ONLN,Online,,Medical Laboratory Sciences,Medical Laboratory Science,Undergraduate,6080,C. Robinson,18,354,,2,  take mlsc-314; minimum grade C;,2,,,,, $-   ,Item,Lists/Sections
^Adv. Clin. Nutrition IV (Summer 2021 HSCI-854-DL),89675,HSCI-854-DL,4683,DL,3/1/2021 6:15,"Integrative nutrition and functional medicine in chronic and degenerative diseases, neurological disorders, immune dysfunction, osteoarthritis, chronic inflammation, allergies, cancer.",Distance Learning-On Line,Summer 2021,5/3/2021 12:00:00 AM - 8/13/2021 12:00:00 AM,,,On-Line,ONLN,Online,,Health Science,Health Sciences,Graduate,9274,"O. Coetzee, D. Brady",25,854,,3,,3,,,,, $-   ,Item,Lists/Sections
^Alchol/Drugs in Soc (Spring 2021 HUSV-110-DL),86169,HUSV-110-DL,826,DL,2/26/2021 6:15,"This course explores alcohol and other drug use and abuse in society. Included in the course will be a historic review, the role of culture in use of drugs, the effect on society, the family and the individual, and an overview of the etiology, assessment and treatment of dependence.",Distance Learning-On Line,Spring 2021,1/25/2021 12:00:00 AM - 5/7/2021 12:00:00 AM,,,,,Online,,Human Services,Human Services,Undergraduate,5838,L. Nesmith,25,110,,3,,3,,,,, $-   ,Item,Lists/Sections
^American Dream (Spring 2021 HUM-C201-IDDL1),86163,HUM-C201-IDDL1,773,IDDL1,2/26/2021 6:15,,Distance Learning-On Line,Spring 2021,1/25/2021 12:00:00 AM - 3/14/2021 12:00:00 AM,,,On-Line,ONLN,Online,"Humanities Elective, Liberal Arts Electvie, IDEAL Course Sections",Humanities,Humanities,Undergraduate,5832,J. Stashenko,25,C201,,3,"TAKE ENGL-101; Minimum grade C, TR",3,,,,, $-   ,Item,Lists/Sections
^American Dream (Spring 2021 HUM-C201-IDDL2),86164,HUM-C201-IDDL2,773,IDDL2,2/26/2021 6:15,,Distance Learning-On Line,Spring 2021,3/22/2021 12:00:00 AM - 5/9/2021 12:00:00 AM,,,On-Line,ONLN,Online,"Humanities Elective, Liberal Arts Electvie, IDEAL Course Sections",Humanities,Humanities,Undergraduate,5833,J. Stashenko,25,C201,,3,"TAKE ENGL-101; Minimum grade C, TR",3,,,,, $-   ,Item,Lists/Sections
^American Govt (Summer 2017 PSCI-101-DL),66626,PSCI-101-DL,864,DL,4/25/2017 6:15,"The Constitution. Structure and function of the national government: proper citizenship, civil rights, elections, and party organizations. 3 semester hours",Distance Learning-On Line,Summer 2017,5/31/2017 12:00:00 AM - 7/1/2017 12:00:00 AM,,,On-Line,ONLN,Online,"Social Science Elective, Liberal Arts Electvie",Political Science,Political Science,Undergraduate,8721,S. Hess,20,101,,3,,3,,,,, $-   ,Item,Lists/Sections
^Anat & Physiology (Nutrition Fall 2016 NUTR-121-DLA),60144,NUTR-121-DLA,886,DLA,10/11/2016 6:15,"Available Summer and Fall terms This course provides a detailed study of the structure and function of cells, tissues, and organ systems, control systems of the human body, homeostatic mechanisms, and the interrelations between the systems are studied. (6 credits)  ",Distance Learning-On Line,Nutrition Fall 2016,8/29/2016 12:00:00 AM - 12/9/2016 12:00:00 AM,,,On-Line,ONLN,Online,,Nutrition,Human Nutrition,Undergraduate,2473,R. Erickson,50,121,,6,,6,,,,, $-   ,Item,Lists/Sections
